1	20	20	60	1000	10000	8
6	20	20	60	10000	10000	8
11	20	20	60	100000	10000	8
16	20	20	60	1000000	10000	8
21	20	20	60	1000000	100000	8
2	20	20	60	1024	10016	32
7	20	20	60	10016	10016	32
12	20	20	60	100192	10016	32
17	20	20	60	1000000	10016	32
22	20	20	60	1000000	100192	32
3	20	20	60	1024	10112	128
8	20	20	60	10112	10112	128
13	20	20	60	100096	10112	128
18	20	20	60	1000064	10112	128
23	20	20	60	1000064	100096	128
4	20	20	60	1024	10240	512
9	20	20	60	10240	10240	512
14	20	20	60	99840	10240	512
19	20	20	60	1000448	10240	512
24	20	20	60	1000448	99840	512
5	20	20	60	1024	10240	1024
10	20	20	60	10240	10240	1024
15	20	20	60	100352	10240	1024
20	20	20	60	1000448	10240	1024
25	20	20	60	1000448	100352	1024
